Date,Close
1/2/2015 16:00:00,5.03
1/5/2015 16:00:00,4.95
1/6/2015 16:00:00,4.8
1/7/2015 16:00:00,4.78
1/8/2015 16:00:00,4.97
1/9/2015 16:00:00,4.99
1/12/2015 16:00:00,4.92
1/13/2015 16:00:00,4.91
1/14/2015 16:00:00,4.93
1/15/2015 16:00:00,4.9
1/16/2015 16:00:00,4.99
1/20/2015 16:00:00,5.01
1/21/2015 16:00:00,5.08
1/22/2015 16:00:00,5.16
1/23/2015 16:00:00,5.18
1/26/2015 16:00:00,5.15
1/27/2015 16:00:00,4.91
1/28/2015 16:00:00,4.83
1/29/2015 16:00:00,4.95
1/30/2015 16:00:00,4.8
2/2/2015 16:00:00,4.91
2/3/2015 16:00:00,5.03
2/4/2015 16:00:00,5.04
2/5/2015 16:00:00,5.12
2/6/2015 16:00:00,5.1
2/9/2015 16:00:00,5.1
2/10/2015 16:00:00,5.24
2/11/2015 16:00:00,5.2
2/12/2015 16:00:00,5.58
2/13/2015 16:00:00,5.58
2/17/2015 16:00:00,5.59
2/18/2015 16:00:00,5.53
2/19/2015 16:00:00,5.54
2/20/2015 16:00:00,5.58
2/23/2015 16:00:00,5.54
2/24/2015 16:00:00,5.58
2/25/2015 16:00:00,5.54
2/26/2015 16:00:00,5.55
2/27/2015 16:00:00,5.52
3/2/2015 16:00:00,5.65
3/3/2015 16:00:00,5.55
3/4/2015 16:00:00,5.61
3/5/2015 16:00:00,5.72
3/6/2015 16:00:00,5.64
3/9/2015 16:00:00,5.65
3/10/2015 16:00:00,5.75
3/11/2015 16:00:00,5.72
3/12/2015 16:00:00,5.67
3/13/2015 16:00:00,5.68
3/16/2015 16:00:00,5.74
3/17/2015 16:00:00,5.81
3/18/2015 16:00:00,5.72
3/19/2015 16:00:00,5.8
3/20/2015 16:00:00,5.87
3/23/2015 16:00:00,5.68
3/24/2015 16:00:00,5.6
3/25/2015 16:00:00,5.26
3/26/2015 16:00:00,5.24
3/27/2015 16:00:00,5.35
3/30/2015 16:00:00,5.37
3/31/2015 16:00:00,5.23
4/1/2015 16:00:00,5.25
4/2/2015 16:00:00,5.27
4/6/2015 16:00:00,5.42
4/7/2015 16:00:00,5.47
4/8/2015 16:00:00,5.51
4/9/2015 16:00:00,5.63
4/10/2015 16:00:00,5.69
4/13/2015 16:00:00,5.64
4/14/2015 16:00:00,5.59
4/15/2015 16:00:00,5.66
4/16/2015 16:00:00,5.62
4/17/2015 16:00:00,5.55
4/20/2015 16:00:00,5.52
4/21/2015 16:00:00,5.51
4/22/2015 16:00:00,5.58
4/23/2015 16:00:00,5.56
4/24/2015 16:00:00,5.51
4/27/2015 16:00:00,5.55
4/28/2015 16:00:00,5.58
4/29/2015 16:00:00,5.54
4/30/2015 16:00:00,5.55
5/1/2015 16:00:00,5.69
5/4/2015 16:00:00,5.65
5/5/2015 16:00:00,5.51
5/6/2015 16:00:00,5.53
5/7/2015 16:00:00,5.62
5/8/2015 16:00:00,5.21
5/11/2015 16:00:00,5.16
5/12/2015 16:00:00,5.21
5/13/2015 16:00:00,5.24
5/14/2015 16:00:00,5.32
5/15/2015 16:00:00,5.33
5/18/2015 16:00:00,5.32
5/19/2015 16:00:00,5.26
5/20/2015 16:00:00,5.26
5/21/2015 16:00:00,5.22
5/22/2015 16:00:00,5.22
5/26/2015 16:00:00,5.18
5/27/2015 16:00:00,5.46
5/28/2015 16:00:00,5.54
5/29/2015 16:00:00,5.53
6/1/2015 16:00:00,5.6
6/2/2015 16:00:00,5.48
6/3/2015 16:00:00,5.43
6/4/2015 16:00:00,5.52
6/5/2015 16:00:00,5.57
6/8/2015 16:00:00,5.44
6/9/2015 16:00:00,5.47
6/10/2015 16:00:00,5.37
6/11/2015 16:00:00,5.43
6/12/2015 16:00:00,5.28
6/15/2015 16:00:00,5.27
6/16/2015 16:00:00,5.33
