Date,Close
1/2/2015 16:00:00,34.73
1/5/2015 16:00:00,33.67
1/6/2015 16:00:00,32.76
1/7/2015 16:00:00,33
1/8/2015 16:00:00,34.73
1/9/2015 16:00:00,34.53
1/12/2015 16:00:00,34.16
1/13/2015 16:00:00,34.21
1/14/2015 16:00:00,33.7
1/15/2015 16:00:00,33.15
1/16/2015 16:00:00,35.07
1/20/2015 16:00:00,37.74
1/21/2015 16:00:00,34.11
1/22/2015 16:00:00,36.88
1/23/2015 16:00:00,36.35
1/26/2015 16:00:00,36.71
1/27/2015 16:00:00,37.33
1/28/2015 16:00:00,37.39
1/29/2015 16:00:00,37.87
1/30/2015 16:00:00,36.57
2/2/2015 16:00:00,36.47
2/3/2015 16:00:00,35.88
2/4/2015 16:00:00,35.69
2/5/2015 16:00:00,36.64
2/6/2015 16:00:00,37.13
2/9/2015 16:00:00,37.19
2/10/2015 16:00:00,39.2
2/11/2015 16:00:00,39.19
2/12/2015 16:00:00,40.04
2/13/2015 16:00:00,39.74
2/17/2015 16:00:00,39.94
2/18/2015 16:00:00,39.11
2/19/2015 16:00:00,39.17
2/20/2015 16:00:00,39.24
2/23/2015 16:00:00,38.67
2/24/2015 16:00:00,40.73
2/25/2015 16:00:00,40.15
2/26/2015 16:00:00,41.13
2/27/2015 16:00:00,40.18
3/2/2015 16:00:00,40.33
3/3/2015 16:00:00,39.8
3/4/2015 16:00:00,39.24
3/5/2015 16:00:00,39.35
3/6/2015 16:00:00,38.11
3/9/2015 16:00:00,38.06
3/10/2015 16:00:00,37.05
3/11/2015 16:00:00,38.18
3/12/2015 16:00:00,37.31
3/13/2015 16:00:00,36.06
3/16/2015 16:00:00,36.39
3/17/2015 16:00:00,35.43
3/18/2015 16:00:00,35.42
3/19/2015 16:00:00,36.67
3/20/2015 16:00:00,37.16
3/23/2015 16:00:00,36.64
3/24/2015 16:00:00,35.36
3/25/2015 16:00:00,33.32
3/26/2015 16:00:00,33.2
3/27/2015 16:00:00,33.91
3/30/2015 16:00:00,34.11
3/31/2015 16:00:00,33.21
4/1/2015 16:00:00,33.72
4/2/2015 16:00:00,34.07
4/6/2015 16:00:00,33.67
4/7/2015 16:00:00,33.67
4/8/2015 16:00:00,34.25
4/9/2015 16:00:00,34.54
4/10/2015 16:00:00,35.12
4/13/2015 16:00:00,35.32
4/14/2015 16:00:00,35.45
4/15/2015 16:00:00,36.95
4/16/2015 16:00:00,37.77
4/17/2015 16:00:00,36.81
4/20/2015 16:00:00,37.06
4/21/2015 16:00:00,34.81
4/22/2015 16:00:00,31.9
4/23/2015 16:00:00,31.23
4/24/2015 16:00:00,30.44
4/27/2015 16:00:00,30.79
4/28/2015 16:00:00,29.68
4/29/2015 16:00:00,29.84
4/30/2015 16:00:00,28.77
5/1/2015 16:00:00,29.28
5/4/2015 16:00:00,29.84
5/5/2015 16:00:00,29.1
5/6/2015 16:00:00,29.85
5/7/2015 16:00:00,30.1
5/8/2015 16:00:00,30.9
5/11/2015 16:00:00,30.93
5/12/2015 16:00:00,31.19
5/13/2015 16:00:00,32
5/14/2015 16:00:00,33.24
5/15/2015 16:00:00,33.09
5/18/2015 16:00:00,33.48
5/19/2015 16:00:00,32.88
5/20/2015 16:00:00,33.04
5/21/2015 16:00:00,33.26
5/22/2015 16:00:00,33.6
5/26/2015 16:00:00,33.51
5/27/2015 16:00:00,34.2
5/28/2015 16:00:00,33.77
5/29/2015 16:00:00,33.46
6/1/2015 16:00:00,35.21
6/2/2015 16:00:00,34.6
6/3/2015 16:00:00,34.96
6/4/2015 16:00:00,33.52
6/5/2015 16:00:00,33.68
6/8/2015 16:00:00,33.54
6/9/2015 16:00:00,33.44
6/10/2015 16:00:00,34.65
6/11/2015 16:00:00,34.74
6/12/2015 16:00:00,33.93
6/15/2015 16:00:00,32.92
6/16/2015 16:00:00,32.57
6/17/2015 16:00:00,32.52
6/18/2015 16:00:00,32.94
6/19/2015 16:00:00,33.21
6/22/2015 16:00:00,33.31
6/23/2015 16:00:00,33.32
6/24/2015 16:00:00,32.67
6/25/2015 16:00:00,31.56
6/26/2015 16:00:00,30.39
6/29/2015 16:00:00,29.41
6/30/2015 16:00:00,29.58
7/1/2015 16:00:00,30.25
7/2/2015 16:00:00,29.02
7/6/2015 16:00:00,27.98
7/7/2015 16:00:00,27.61
7/8/2015 16:00:00,27.55
7/9/2015 16:00:00,25.81
7/10/2015 16:00:00,25.85
7/13/2015 16:00:00,25.41
7/14/2015 16:00:00,26.04
7/15/2015 16:00:00,25.17
7/16/2015 16:00:00,25.19
7/17/2015 16:00:00,25.14
7/20/2015 16:00:00,24.99
7/21/2015 16:00:00,25.06
7/22/2015 16:00:00,25.39
7/23/2015 16:00:00,25.76
7/24/2015 16:00:00,25.45
7/27/2015 16:00:00,25.2
7/28/2015 16:00:00,25.33
7/29/2015 16:00:00,25.7
7/30/2015 16:00:00,25.77
7/31/2015 16:00:00,26.67
8/3/2015 16:00:00,26.61
8/4/2015 16:00:00,25.81
8/5/2015 16:00:00,27.91
8/6/2015 16:00:00,26.87
8/7/2015 16:00:00,26.58
8/10/2015 16:00:00,27.18
8/11/2015 16:00:00,26.14
8/12/2015 16:00:00,27.04
8/13/2015 16:00:00,27.28
8/14/2015 16:00:00,27.55
8/17/2015 16:00:00,27.65
8/18/2015 16:00:00,27.5
8/19/2015 16:00:00,27.44
8/20/2015 16:00:00,26.74
8/21/2015 16:00:00,25.39
8/24/2015 16:00:00,24.56
8/25/2015 16:00:00,24.57
8/26/2015 16:00:00,25.31
8/27/2015 16:00:00,25.68
8/28/2015 16:00:00,26.83
8/31/2015 16:00:00,27.35
9/1/2015 16:00:00,24.77
9/2/2015 16:00:00,24.81
9/3/2015 16:00:00,24.87
9/4/2015 16:00:00,24.24
9/8/2015 16:00:00,25.09
9/9/2015 16:00:00,25.21
9/10/2015 16:00:00,27.08
9/11/2015 16:00:00,27.14
9/14/2015 16:00:00,26.66
9/15/2015 16:00:00,28
9/16/2015 16:00:00,29.03
9/17/2015 16:00:00,29.35
9/18/2015 16:00:00,28.85
9/21/2015 16:00:00,28.91
9/22/2015 16:00:00,28.59
9/23/2015 16:00:00,28.54
9/24/2015 16:00:00,27.79
9/25/2015 16:00:00,27.8
9/28/2015 16:00:00,26.92
9/29/2015 16:00:00,26.65
9/30/2015 16:00:00,27.26
10/1/2015 16:00:00,26.61
10/2/2015 16:00:00,27.73
10/5/2015 16:00:00,28.81
10/6/2015 16:00:00,29.63
10/7/2015 16:00:00,31.68
10/8/2015 16:00:00,31.82
10/9/2015 16:00:00,26.9
10/12/2015 16:00:00,26.33
10/13/2015 16:00:00,26.92
10/14/2015 16:00:00,25.93
10/15/2015 16:00:00,25.99
10/16/2015 16:00:00,26.35
10/19/2015 16:00:00,26.34
10/20/2015 16:00:00,26.11
10/21/2015 16:00:00,25.4
10/22/2015 16:00:00,25.49
10/23/2015 16:00:00,28.52
10/26/2015 16:00:00,27.56
10/27/2015 16:00:00,27.26
10/28/2015 16:00:00,28.39
10/29/2015 16:00:00,27.94
10/30/2015 16:00:00,28.21
11/2/2015 16:00:00,29.66
11/3/2015 16:00:00,29.9
11/4/2015 16:00:00,30.05
11/5/2015 16:00:00,30.08
11/6/2015 16:00:00,30.78
11/9/2015 16:00:00,30.3
11/10/2015 16:00:00,29.25
11/11/2015 16:00:00,26.18
11/12/2015 16:00:00,26.38
11/13/2015 16:00:00,25.49
11/16/2015 16:00:00,24.74
11/17/2015 16:00:00,24.34
11/18/2015 16:00:00,23.71
11/19/2015 16:00:00,23.48
11/20/2015 16:00:00,23.4
11/23/2015 16:00:00,23.61
11/24/2015 16:00:00,23.92
11/25/2015 16:00:00,24.14
11/27/2015 16:00:00,24.44
11/30/2015 16:00:00,24.56
12/1/2015 16:00:00,26.16
12/2/2015 16:00:00,26.56
12/3/2015 16:00:00,26.4
12/4/2015 16:00:00,26.54
12/7/2015 16:00:00,24.89
12/8/2015 16:00:00,25.25
12/9/2015 16:00:00,23.94
12/10/2015 16:00:00,24.82
12/11/2015 16:00:00,24.19
12/14/2015 16:00:00,22.75
12/15/2015 16:00:00,22.86
12/16/2015 16:00:00,23.23
12/17/2015 16:00:00,22.84
12/18/2015 16:00:00,22.32
12/21/2015 16:00:00,23.14
12/22/2015 16:00:00,24.04
12/23/2015 16:00:00,24.77
12/24/2015 16:00:00,24.66
12/28/2015 16:00:00,24.37
12/29/2015 16:00:00,24.65
12/30/2015 16:00:00,24.18
12/31/2015 16:00:00,24.51
1/4/2016 16:00:00,23.65
1/5/2016 16:00:00,23.11
1/6/2016 16:00:00,22.93
1/7/2016 16:00:00,22.03
1/8/2016 16:00:00,21.96
1/11/2016 16:00:00,21.52
1/12/2016 16:00:00,27.27
1/13/2016 16:00:00,25
1/14/2016 16:00:00,24.45
1/15/2016 16:00:00,24.43
1/19/2016 16:00:00,24.78
1/20/2016 16:00:00,25.22
1/21/2016 16:00:00,24.96
1/22/2016 16:00:00,25.99
1/25/2016 16:00:00,26.11
